fpr,tpr,threshold
0.0,0.0,inf
0.0,0.001303780964797914,0.9708178000186005
0.0,0.007822685788787484,0.9103770686868492
0.0024691358024691358,0.007822685788787484,0.9051265487699409
0.0024691358024691358,0.010430247718383311,0.8646907688238167
0.0049382716049382715,0.010430247718383311,0.8635661827626272
0.0049382716049382715,0.01955671447196871,0.8445613018876769
0.007407407407407408,0.01955671447196871,0.8346850899946773
0.007407407407407408,0.02216427640156454,0.8304714654503527
0.009876543209876543,0.02216427640156454,0.8280187054254314
0.009876543209876543,0.035202086049543675,0.7915020738798728
0.014814814814814815,0.035202086049543675,0.7890216094309533
0.014814814814814815,0.048239895697522815,0.7726285664199307
0.01728395061728395,0.048239895697522815,0.7726019885300688
0.01728395061728395,0.0560625814863103,0.7565453399710934
0.019753086419753086,0.0560625814863103,0.7538810182938388
0.019753086419753086,0.05997392438070404,0.7447618473123458
0.022222222222222223,0.05997392438070404,0.7394150647486581
0.022222222222222223,0.06258148631029987,0.7385798804025918
0.024691358024691357,0.06258148631029987,0.7368161367313693
0.024691358024691357,0.06779661016949153,0.730857542747863
0.027160493827160494,0.06779661016949153,0.7305175966367823
0.027160493827160494,0.07040417209908735,0.7196375556176124
0.02962962962962963,0.07040417209908735,0.7148839083498589
0.02962962962962963,0.08213820078226858,0.7078384118888776
0.03209876543209877,0.08213820078226858,0.7057953446967489
0.03209876543209877,0.08996088657105607,0.7026518099921886
0.0345679012345679,0.08996088657105607,0.7023324056027733
0.0345679012345679,0.09517601043024772,0.6995780445386572
0.037037037037037035,0.09517601043024772,0.6977281343229075
0.037037037037037035,0.09647979139504563,0.6975344598649348
0.03950617283950617,0.09647979139504563,0.6970014989917795
0.03950617283950617,0.10430247718383312,0.6926816333498457
0.04197530864197531,0.10430247718383312,0.6921338274241219
0.04197530864197531,0.10560625814863103,0.6915809215679228
0.044444444444444446,0.10560625814863103,0.6911003789681578
0.044444444444444446,0.11864406779661017,0.6857295279716225
0.04938271604938271,0.11864406779661017,0.6852431520680643
0.04938271604938271,0.121251629726206,0.6846280702257035
0.05432098765432099,0.121251629726206,0.6830163966381667
0.05432098765432099,0.12255541069100391,0.6826539594888004
0.05925925925925926,0.12255541069100391,0.6811574545398033
0.05925925925925926,0.12646675358539766,0.6771843826938633
0.06172839506172839,0.12646675358539766,0.6763144633588142
0.06172839506172839,0.12777053455019557,0.6762846508812893
0.06419753086419754,0.12777053455019557,0.674946983557963
0.06419753086419754,0.1290743155149935,0.6743477662840437
0.06666666666666667,0.1290743155149935,0.6741883877091424
0.06666666666666667,0.13820078226857888,0.6704509687168474
0.0691358024691358,0.13820078226857888,0.6702812816332898
0.0691358024691358,0.14471968709256844,0.6692358383327179
0.07160493827160494,0.14471968709256844,0.6691787261246097
0.07160493827160494,0.14602346805736635,0.6686523832573754
0.07407407407407407,0.14602346805736635,0.6684272951179873
0.07407407407407407,0.15514993481095177,0.6631482422232782
0.07901234567901234,0.15514993481095177,0.662568104152854
0.07901234567901234,0.16036505867014342,0.660872851065629
0.08148148148148149,0.16036505867014342,0.6591611932605486
0.08148148148148149,0.1694915254237288,0.6562857655759606
0.08641975308641975,0.1694915254237288,0.6558840487576433
0.08641975308641975,0.17470664928292046,0.6547763102571131
0.0962962962962963,0.17470664928292046,0.6523070945296623
0.0962962962962963,0.1760104302477184,0.6522795987292885
0.09876543209876543,0.1760104302477184,0.6520185878243896
0.09876543209876543,0.18252933507170796,0.6493162337770458
0.10123456790123457,0.18252933507170796,0.6491974450462671
0.10123456790123457,0.21251629726205998,0.6369927976910258
0.1037037037037037,0.21251629726205998,0.6363410048044076
0.1037037037037037,0.21642764015645372,0.6359184197659404
0.10617283950617284,0.21642764015645372,0.6359144127838705
0.10617283950617284,0.2320730117340287,0.6285959240525564
0.10864197530864197,0.2320730117340287,0.6270785497763675
0.10864197530864197,0.23468057366362452,0.6253763459751395
0.1111111111111111,0.23468057366362452,0.6251698585154233
0.1111111111111111,0.23728813559322035,0.6247150036115027
0.11358024691358025,0.23728813559322035,0.6240330911955029
0.11358024691358025,0.23989569752281617,0.6225081983068644
0.12098765432098765,0.23989569752281617,0.6223277418675811
0.12098765432098765,0.24771838331160365,0.619958241897346
0.1259259259259259,0.24771838331160365,0.6194445793165467
0.1259259259259259,0.24902216427640156,0.6190467835681593
0.12839506172839507,0.24902216427640156,0.6190396310311863
0.12839506172839507,0.2529335071707953,0.6160475158357079
0.13580246913580246,0.2529335071707953,0.6151922121206661
0.13580246913580246,0.25554106910039115,0.6148624539213309
0.14074074074074075,0.25554106910039115,0.6141560640483273
0.14074074074074075,0.25684485006518903,0.612668042762031
0.145679012345679,0.25684485006518903,0.6120908853867971
0.145679012345679,0.2633637548891786,0.6113203679347333
0.14814814814814814,0.2633637548891786,0.6110933474722848
0.14814814814814814,0.2646675358539765,0.6110317050989752
0.1506172839506173,0.2646675358539765,0.6103166114406386
0.1506172839506173,0.2711864406779661,0.6090445697503388
0.15555555555555556,0.2711864406779661,0.6066678926577834
0.15555555555555556,0.2737940026075619,0.6053020109194084
0.16049382716049382,0.2737940026075619,0.6048169434673628
0.16049382716049382,0.2894393741851369,0.5990386074377082
0.16296296296296298,0.2894393741851369,0.5988154331552004
0.16296296296296298,0.3011734028683181,0.5951351894031836
0.1654320987654321,0.3011734028683181,0.5949581305696752
0.1654320987654321,0.3076923076923077,0.593416012836783
0.17037037037037037,0.3076923076923077,0.5924808890947698
0.17037037037037037,0.31421121251629724,0.5905360682365391
0.17530864197530865,0.31421121251629724,0.5893410918918361
