sentiment_bucket,account_days,traders,mean_daily_pnl_usd,median_daily_pnl_usd,positive_day_rate,mean_win_rate,mean_drawdown_usd,p10_drawdown_usd,p05_daily_pnl_usd,es10_daily_pnl_usd
Fear,790,32,5185.146443205063,122.73703799999998,0.6037974683544304,0.8422935232428521,-8863.193210729112,-28433.433759199965,-3484.97255195,-11003.822006696202
Greed,1174,31,4144.208333580919,265.24772500000006,0.6431005110732538,0.8563066461899026,-8892.618793546848,-20620.161596600006,-173.77575615,-2595.015031019093
